target_id	S2_DRSC_CG8144_RNAi_1	S2_DRSC_CG8144_RNAi_3	S2_DRSC_CG8144_RNAi_4	S2_DRSC_Untreated_1	S2_DRSC_Untreated_3	S2_DRSC_Untreated_4
FBtr0089252	122.296	69.2996	85.0847	128.798	92.8605	55.0087
FBtr0334488	5.68707e-6	20.2636	25.7127	64.7733	0	0
FBtr0334489	60.0667	20.214	0	20.0222	20.1816	0
FBtr0100600	347.637	76.2228	105.203	290.623	66.9578	123.991
FBtr0300305	0	0	0	0	0	0
FBtr0077162	2	0	0	0	0	0
FBtr0072277	396	214	249	433	190	202
FBtr0344898	0	0	0	0	0	0
FBtr0086817	0	0	0	0	0	0
FBtr0333271	6.02237e-4	0	33.1864	47.1412	23.3564	16.0646
FBtr0072639	99.9994	54	15.8136	45.8588	10.6436	7.93544
FBtr0340000	124.37	9.83757	6.47166	234.572	6.51438	3.29169
FBtr0087390	249.63	174.162	206.528	780.428	463.486	550.708
FBtr0070472	0	2.47608	11.2997	4.22797e-8	0.0271812	1.76032e-6
FBtr0331752	1114.48	547.4	645.852	1341.13	825.838	604.687
FBtr0070475	273.872	137.688	178.136	158.225	146.962	128.164
FBtr0070474	39.693	40.7301	4.04991	63.2175	3.8559	19.7355
FBtr0302185	23.3201	6.11081	26.0673	14.2901	18.9916	4.11534
FBtr0070471	554.994	235.191	242.498	543.414	263.212	186.204
FBtr0112828	115.761	91.2247	105.808	241.407	127.032	105.691
FBtr0301966	44.852	35.7123	12.6366	0	22.4613	0
FBtr0070468	349.371	264.696	430.146	50.6715	377.445	328.481
FBtr0070476	0	0	0	0	0	1.24162
FBtr0070470	22.1093	0	0	0	0	0
FBtr0331751	26.8982	18.7131	27.947	35.4531	8.00435	14.3036
FBtr0070469	2083.14	376.583	474.528	2344.41	450.45	296.424
FBtr0070467	0	0	0	0	0	0
FBtr0331753	163.671	16.754	42.1558	163.907	38.7299	12.1993
FBtr0070466	0	84.1782	2.54157e-4	501.87	0.97607	139.713
FBtr0070473	0	0	0	0	0	0
FBtr0076265	1438	484	700	1586	524	543
FBtr0331935	198.042	0	0	166.977	0	0
FBtr0088237	518.958	396	518	706.023	360	439
FBtr0081705	0	0	0	0	0	0
FBtr0088524	1156	669	797	1034	535	588
FBtr0074540	220	119	135	250	103	104
FBtr0074494	7	5	4	9	3	2
FBtr0085714	2464.67	2775.89	2781.16	2934.44	2514.95	3326.09
FBtr0085713	45187.3	19292.1	23883.8	61910.6	24674.9	25893.9
FBtr0076256	3	2	2	1	2	3
FBtr0339552	714.341	125.261	116.261	509.07	108.253	91.9999
FBtr0078950	248.659	289.739	336.739	350.93	277.747	285
FBtr0070990	83.0446	6.84255	7.54986	123.462	7.51834	3.83125
FBtr0100409	291.814	2.61604	0	196.529	0	0
FBtr0343330	305.333	367.617	459.526	407.788	332.525	404.217
FBtr0304902	0	1	5.85454	0	1	1
FBtr0304901	1	0	3.14546	3	0	0
FBtr0078872	2	0	1	2	0	1
FBtr0077839	223.253	236.308	198.186	339.779	132.137	99.2585
FBtr0077837	124.646	0	17.2357	71.9286	18.7749	111.445
FBtr0077838	0.00137066	35.1585	4.01115e-6	0.0213883	110.016	21.2826
FBtr0077836	990.1	289.533	505.578	974.271	237.072	308.014
FBtr0075133	146.242	12.62	10.4932	108.637	8.40376	18.9417
FBtr0332862	48.7582	30.38	62.5068	198.363	99.5962	68.0583
FBtr0087988	198.881	1976.18	2258.2	1321.01	1759.24	1686.07
FBtr0087987	10551.1	5562.54	7019.72	9321.99	3878.71	5102.78
FBtr0074688	629	499	615	752	467	523
FBtr0086864	720	285	363	707	268	270
FBtr0083361	0	0	0	0	0	0
FBtr0392904	2515.37	303.753	325.99	1217.84	179.814	144.123
FBtr0084588	1860.89	1175.21	1814.32	3196.78	960.822	703.17
FBtr0303161	773.817	247.277	206.558	758.841	613.226	719.165
FBtr0079257	424	184	232	539	219	248
FBtr0307341	0	0	0	0	0	0
FBtr0084989	0.776722	1	0.836398	0	1.82638	0.879689
FBtr0306309	4.52637	0	0	5.69899	1	0
FBtr0344570	10.4736	6	1	4.30101	0	2
FBtr0078090	542	231	283	696	251	250
FBtr0087439	187	54	77	185	51	63
FBtr0070960	8	2	6	0	6	0
FBtr0302357	0	0	0	0	0	8
FBtr0302356	0	0	0	6	0	0
FBtr0340571	0	0	0	0	0	0
FBtr0340572	0	0	0	0	0	0
FBtr0080267	0	0	0	0	0	0
FBtr0077141	0	0	0	0	0	0
FBtr0306593	0	0	0	0	0	0
FBtr0081719	2071	985	1195	2040	764	884
FBtr0071549	535	314	408	699	289	356
FBtr0308832	103.538	54.2946	103.559	9.24624	52.6623	100.619
FBtr0308833	588.662	371.711	460.599	1193.74	402.021	373.319
FBtr0074921	928.8	113.994	37.842	713.018	85.3166	57.0619
FBtr0073011	3	1	1	1	2	0
FBtr0112378	2	0	0	0	0	0
FBtr0342602	394.404	0	0	294.881	0	0
FBtr0080326	925.596	612.371	754	1021.12	544	629.645
FBtr0085405	1250	613	740	1309	603	701
FBtr0339295	0	0	0	0	0	0
FBtr0300316	0	0	0	0	0	0
FBtr0300904	0	0	0	0	0	0
FBtr0081633	2	0	0	0	0	0
FBtr0300905	0	0	0	2	0	0
FBtr0335279	0	0	0	0	0	0
FBtr0335281	0	0	0	0	2	0
FBtr0290216	3	0	0	4	0	0
FBtr0335280	5.15864e-7	0	0	2.3336e-7	0	0
FBtr0077120	276	191.764	215.197	297	195.362	182.437
FBtr0081676	0	0	0	0	0	0
FBtr0076639	8	3	2	4.8028	1	1
FBtr0079280	1	0	2	0	0	0
FBtr0304827	0	18.3499	0	0	0	26.8728
FBtr0433494	15.7685	0	22.3508	22.9932	1.0286e-4	2.5298
FBtr0333832	0	0	0	11.2536	6.1672	3.97143
FBtr0433497	4.61669e-4	9.24775	0.0184694	0	0	0.0148448
FBtr0333833	0	0	0	0	18.3895	0
FBtr0433496	0	2.91597e-4	3.92704	0	0	0
FBtr0304826	0	0	3.01405e-7	33.3184	0	0
FBtr0433495	0.0153666	0.00296948	3.30917	0.00123411	8.45264e-4	0
FBtr0433493	29.2481	6.58044	0	3.96704	3.07387	3.29273
FBtr0300808	0	0	0	1	0	0
FBtr0300809	0	0	0	0	0	0.552
FBtr0301700	0	0	0	0	0	0.224
FBtr0072287	2342	1027	1170	2372	927	994
FBtr0343633	1011.8	31.2289	0	2475.08	135.439	78.7619
FBtr0074281	1667.82	1202.04	1358.73	1216.52	1186.84	1244.14
FBtr0343632	66.2684	47.273	77.28	23.708	69.4137	0
FBtr0074279	3867.88	924.46	1146.35	4148.27	974.072	1104.78
FBtr0074280	0.232003	0	38.6447	2.42244	54.2371	39.3189
FBtr0072238	0	0	0	0	0	0
FBtr0308073	3.27802	12.7922	11.3007	20.7674	13.1279	6.47061
FBtr0082360	631.444	340.208	397.699	583.918	298.706	345.673
FBtr0082361	39.2777	0	0	13.315	6.16612	17.8567
FBtr0079938	56	25	42	45	21	29
FBtr0077227	1121.87	653.501	841.389	1233.73	612.845	690.336
FBtr0091702	114.133	16.9989	17.6108	64.2682	11.1554	20.6643
FBtr0074882	475.478	292.592	439.942	536.349	281.893	268.096
FBtr0332153	297.23	46.9804	55.6491	314.714	58.6503	41.1365
FBtr0310476	25.883	136.871	49.9506	116.037	115.914	94.8876
FBtr0100666	256.478	57.6437	136.146	289.7	73.3375	108.703
FBtr0332726	11.9319	18.9127	11.3129	54.2008	22.2056	31.177
FBtr0080287	238.265	99.8849	197.262	285.31	100.985	110.269
FBtr0309307	0	0	0	0	0	0
FBtr0300898	1	0	1	0	0	0
FBtr0080024	144	51.0189	70	166	39.1898	44.5064
FBtr0077389	2502	1257	1683	2996	1272	1286
FBtr0290204	0	0	0	0	0	0
FBtr0086689	29.9596	166.391	101.147	25.012	86.9356	119.18
FBtr0306636	623.627	177.145	222.24	313.098	127.859	162.895
FBtr0086687	874.587	79.4418	155.936	894.261	211.521	122.832
FBtr0086690	0.0238662	0	0	0	0	0
FBtr0086686	133.893	0	0	0	0	0
FBtr0340359	96.962	0	67.2783	92.2903	35.7309	37.1317
FBtr0301148	446.85	445.191	592.825	1238.54	405.782	519.929
FBtr0086684	1.07976	0	0	0	0	0
FBtr0306637	0.0830184	37.8319	0	0	0.0177314	0.0407546
FBtr0301149	262.934	0	9.57388	29.7935	9.1541	10.9908
FBtr0086600	65.6774	0	0	45.7263	14.1013	31.8994
FBtr0331978	394.323	158	196	375.274	132.899	134.101
FBtr0078769	15710	12542	15176	25912	12820	14832
FBtr0070712	17	9	8	20	9	10
FBtr0343263	2	0	0	0	0	0
FBtr0343264	0	0	0	7.42497e-7	0	8.02632e-6
FBtr0072024	0	0	0	0.999999	0	1.99999
FBtr0113111	0	0	0	0	0	0
FBtr0333452	0	13.4458	0	6.68413	10.6241	6.72645
FBtr0333450	0	1.55422	11	24.3159	6.37595	4.27354
FBtr0333451	0	4.96554e-7	3.27621e-6	3.56839e-6	7.71262e-7	2.66472e-6
FBtr0300831	26	0	0	0	0	0
FBtr0076303	67.9219	23.409300000000002	22.0994	0	50.5149	0
FBtr0076302	2.4201	12.6533	5.53482	32.2608	0.0356821	41.6576
FBtr0076301	1508.66	772.937	1112.37	1143.74	546.449	584.342
FBtr0077098	1214	620.236	752.803	1235	544.638	593.563
FBtr0070552	0	0	1	1	0	0
FBtr0075818	472	244	317	466	209	253
FBtr0088789	181	60	80	136	53	65
FBtr0304960	0	0	0	0	0	0
FBtr0075249	1	1	0	0	0	0
FBtr0084104	7028	2667	3216	6278	2312	2587
FBtr0336911	403.05	97.4525	129.586	459.299	106.729	190.852
FBtr0088974	200.134	161.754	211.082	372.379	225.23	168.322
FBtr0100360	81.5521	6.83294	29.2271	58.785	0	5.87215
FBtr0110880	0	0	0	0	0	0.284881
FBtr0334105	0	0	0	0	0	1.53651
FBtr0301185	0	0	0	0	0	4.69767e-6
FBtr0110881	120.448	55.1671	69.7729	143.215	97	75.3065
FBtr0336928	0	0	2	0	0	4
FBtr0072107	2	1	0	2	0	0
FBtr0085786	1013.35	382.084	473.257	625.076	272.191	274
FBtr0085785	109.65	0	0	35.7394	0	0
FBtr0334549	0	29.9156	33.7431	0.171628	26.8092	0
FBtr0334550	0	0	0	0.0125518	0	0
FBtr0340191	3113.89	9.37706e-6	9.30698e-6	447.382	2.5237e-6	2.17118e-5
FBtr0073848	650.107	2019	2182	3776.62	1884	1985
FBtr0078387	664.338	206.437	241.698	534.217	204.56	175.559
FBtr0087487	403	200	225	397	193	217
FBtr0083735	0	0	0	0	0	0
FBtr0332539	1	1	1	2	0	0
FBtr0077790	0	0	0	0	0	0
FBtr0331440	0	0	0	0	0	0
FBtr0331439	0	0	0	0	0	0
FBtr0082634	380	222	253	374	191	177
FBtr0079612	171	54.381	66	124	42	54.6138
FBtr0087980	0	0	0	0	0	0
FBtr0087979	2	0	0	2	0	0
FBtr0072044	0	0	0	0	0	0
FBtr0343206	0	0	0	0	0	0
FBtr0072043	0	0	0	0	0	0
FBtr0075225	0	0	0	2	1	0
FBtr0112489	38.884	16.9411	27.4647	39.6395	16	20.0851
FBtr0339263	21.6359	0	3.46562	7.36054	0	1.85535
FBtr0301018	70	12	25	51	25	18
FBtr0302526	46	13.0327	13.3246	41	12.4092	14.8136
FBtr0100009	286	135	166	343	99	134
FBtr0089901	0	0.00824194	0	0	0	9.43879
FBtr0089902	10.3277	0	0	0	0	1.34153e-7
FBtr0300562	401.157	114.447	100.498	211.647	114.159	81.1292
FBtr0089900	0	0	0	0	0	0
FBtr0089904	91.1207	0	0	0	0	0
FBtr0301521	169.917	13.6577	13.8487	12.9273	0	12.6391
FBtr0089905	128.478	13.8869	47.6529	219.426	61.8413	42.793
FBtr0345390	143.108	12.5084	0	31.1104	12.4976	12.5143
FBtr0331425	112.884	126.619	156.305	55.1303	101.346	56.3201
FBtr0332155	448.008	93.8727	163.695	314.759	39.1564	49.1656
FBtr0075014	0	0	0	0	1.44016e-4	8.62703e-7
FBtr0078874	0	0	0	0	0	1
FBtr0083452	716.387	188.627	285.991	654.093	258.957	220.251
FBtr0302317	466.613	341.373	317.009	577.907	304.043	356.749
FBtr0333248	0	0	0	0	0	0
FBtr0114524	3	1	0	3	2	4
FBtr0273385	198.582	4.14704	0	197.247	56.2293	103.065
FBtr0339307	0	44.3077	15.2346	179.217	52.0571	0
FBtr0273384	116.418	133.545	221.765	409.536	216.714	172.935
FBtr0082117	48.1337	74.62	80.4417	201.795	139.541	112.771
FBtr0082116	319.274	71.9227	46.4674	289.945	88.3461	78.4643
FBtr0082118	182.766	84.6057	96.091	338.26	133.113	100.765
FBtr0085011	1	4	1	1	0	1
FBtr0081174	0	0	0	0	0	0
FBtr0081175	0	0	0	0	0	0
FBtr0303241	79.2661	69.0925	70.3881	124.727	42.5569	52.8097
FBtr0081176	68.55	0	0	13.0229	0	0
FBtr0305129	1208.15	229.222	273	794	203.672	235
FBtr0339156	140.852	39.7776	0	4.3466e-8	46.3278	0
FBtr0339157	0	0	0	0	0	6.15494e-8
FBtr0071784	82.1593	0	0	28.2154	0	0
FBtr0071785	1081.84	700.038	807.651	1811.78	799	896
FBtr0089148	381.08	0	33.6459	97.4696	46.4273	10.3201
FBtr0089147	317.664	51.2037	0	2.15346e-8	5.42198e-7	2.45503
FBtr0089150	537.466	31.2326	52.3036	111.102	0	30.0942
FBtr0089146	299.344	5.23118	76.7672	0	12.381	68.6024
FBtr0308247	1059.42	447.223	437.283	1699.44	708.093	531.528
FBtr0089149	167.03	34.1096	0	42.987	41.0982	0
FBtr0302559	0	0	0	0	0	0
FBtr0346506	0	0	0	0	0	0
FBtr0302190	166.294	0.00711458	68.3026	179.235	24.5798	0.0121422
FBtr0086145	248.706	204.993	159.697	260.765	187.42	206.988
FBtr0306281	0	0	0	0	0	0
FBtr0306280	0	0	0	0	0	0
FBtr0306258	3286.49	40.8651	42.4729	3856	42.5185	85.161
FBtr0073119	2143.65	2375.49	1973.46	2413.56	1573.95	1180.52
FBtr0073120	4743.98	1621.52	2435.92	1639.06	926.331	861.399
FBtr0073118	10985	2699.02	2785.12	5539.45	1867.1	1548.57
FBtr0337055	363.53	236.248	332.539	297.65	278.214	245.622
FBtr0333895	84.3366	1680.87	2370.37	56.2738	1361.38	1631.86
FBtr0337056	0	0	22.1166	1637	443.498	288.859
FBtr0077442	140	49	60	118	52	46
FBtr0076018	95.4682	20.7439	16.8241	79.4299	19.27	21.2973
FBtr0076017	59.5318	60.256100000000004	81.1759	82.5701	43.73	41.7027
FBtr0339781	2	0	0	0	0	0
FBtr0070778	0	0	0	0	0	0
FBtr0344824	0	1	0	0	0	0
FBtr0345292	47.9766	33.0651	40.8181	0	101.911	64.1608
FBtr0070983	0	97.3633	56.3168	0	77.8784	0
FBtr0070982	6411.87	13.923	6.93195	5283.87	7.48321	10.0964
FBtr0070981	8192.28	379.325	465.834	20619.8	427.29	578.759
FBtr0070980	16554.9	22972.3	28893.1	15906.4	22505.4	29493
FBtr0307300	782.319	223.121	308.824	573	222.63	249.68
FBtr0113024	15.681	25.7377	0	0	27.2299	12.3202
FBtr0332600	0	0	0	0	0	0
FBtr0083414	455.007	314.206	420.466	672.137	328.439	300.902
FBtr0337043	230.993	17.794	14.5341	92.863	3.56112	25.0982
FBtr0077516	1	0	0	0	0	1
FBtr0112524	23.6476	19	13.6407	43	15	12
FBtr0089233	338.921	42.6197	43.6391	0	67.2163	0.132243
FBtr0334626	0.111766	0	18.5789	80.152	23.6239	55.539
FBtr0310651	1628.83	64.2691	0.0605896	399.705	72.1458	0.0903366
FBtr0089229	569.139	472.111	603.721	2090.14	532.014	570.238
FBtr0082920	1	0	0	1	0	0
FBtr0077386	486	217.182	285.706	525	209.114	215.399
FBtr0071106	0	0	0	2	0	0
FBtr0070937	2423.24	1805.6	2143.17	2977.36	1074.19	1545.39
FBtr0070938	3734.76	907.395	1181.83	3322.64	1480.81	1024.61
FBtr0070397	9	9	9	16	9	2
FBtr0074346	0	0	0	1	0	0
FBtr0071471	0	0	0.929674	0.938438	0	0
FBtr0330316	0	0	0.0703263	0.0615618	0	0
FBtr0074918	288	138.13	189.395	334	111	144.346
FBtr0072124	572	304	357.132	678	281	346.177
FBtr0071683	803	534	651	1132	470	494
FBtr0077403	0	0	3.28901	15.9974	0	0
FBtr0113021	0	0	0	0	0	0
FBtr0077402	0	1	0	0	0	0
FBtr0077401	8	0	1.71099	0.00259399	8	3
FBtr0300280	4	2	2	4	1	0
FBtr0346378	0	0	0	0	0	0
FBtr0074809	938.659	697.106	808.319	635.969	446.051	451.812
FBtr0335137	186.341	0	6.93941	138.031	6.94862	0
FBtr0346141	31.0133	1.98028	0	12.0607	3.87316	0
FBtr0085611	4.98667	9.01972	6	3.93926	11.1268	6
FBtr0074029	4	2	0	2	0	0
FBtr0075388	11	2	0.324922	7	0	2
FBtr0343534	0	0	2.67508	0	2	0
FBtr0086001	3	5	7	4	2	1
FBtr0321315	0	0	0	0	0	0
FBtr0333037	145.709	0	0	72.8532	24.4818	0
FBtr0075724	116.797	62.8212	62.611	289.147	86.2678	78.5994
FBtr0075723	3.49425	12.1788	38.389	3.58706e-7	6.25042	22.4006
FBtr0342770	40.0425	0.0100707	7.2169	70.1758	0.0416864	0.0309972
FBtr0070420	3161.33	2044.99	2350.78	4384.19	2418.96	2117.97
FBtr0342771	678.626	0	0	399.635	0	0
FBtr0333323	257.415	2.47918e-5	12.8364	25.8291	2.04414e-6	0
FBtr0333322	35.1356	18.9152	0	0	32.2262	16.6697
FBtr0074137	64.4956	11.5657	45.4293	69.3105	0.00224708	0
FBtr0074135	1703.95	767.519	869.734	2368.86	792.772	900.33
FBtr0308136	0	0	0	0	0	0
FBtr0080237	0	0	0	0	0	0
FBtr0300638	0	0	0.666667	0	0.666667	0
FBtr0073729	221.635	65	55.7895	240.036	85.8462	59.871
FBtr0084836	196	106	111	241	80	109
FBtr0082430	148.386	9.62982	0	174.455	9.33194	0
FBtr0335211	266.614	172.37	249	217.545	110.668	157
FBtr0076857	11	8	7	9	2	7
FBtr0300424	21	6	7	26	6	0
FBtr0083860	329.219	65.218	0	516.013	22.1459	0
FBtr0302327	2156.27	1485.06	2001.12	2129.04	1297.6	1628.9
FBtr0083861	1217.51	114.718	119.885	1579.94	173.256	178.104
FBtr0083086	276.526	208.597	239.076	317.673	138.104	176.049
FBtr0334589	162.64	29.8816	21.7856	132.958	45.4212	25.3925
FBtr0091874	3.90605	0	1.72632	0.443903	1.88338	1.51117
FBtr0073935	2	0	0	3	0	0
FBtr0073300	0	0	0	0	0	0
FBtr0073299	0	0	0	0	0	0
FBtr0088841	57.4869	36.0534	33.1835	55.9368	36.8631	34.7844
FBtr0088842	851.962	533.6	670.226	1053.77	465.726	560.053
FBtr0345599	4.90324	0	0	5.49275	0	0
FBtr0070422	0	0	2	2.11803	4	6
FBtr0342772	0	2.6969	0	0	0	0
FBtr0070421	8.09676	1.3031	0	1.38922	1	0
FBtr0333023	0	0	0	0	0	0
FBtr0075579	3	1	5	4	2	2
FBtr0072248	0	9.39357e-4	0	0.00447365	0	0
FBtr0345620	0	0	0	0	0	0
FBtr0072247	4	0.999061	3	6.99553	0	0
FBtr0072253	308.45	0	0	291.049	0	14.7037
FBtr0343432	151.735	231	269	205.741	173	189.094
FBtr0073127	0.00704323	0.0027615	0.0065027	0.00268116	0.00177377	0.0037331
FBtr0073128	4.99296	1.99724	4.9935	2.99732	1.99823	1.99627
FBtr0079458	0	0	0	2.18747	0	0
FBtr0079460	13.4939	10	12.6262	14.1672	9.74856	8.56958
FBtr0079462	0	0	1.05501	1.09489	0	0
FBtr0079461	0	1	1.05593	2.19313	0	0
FBtr0079459	13.5061	7	5.26287	16.3573	3.25144	6.43042
FBtr0081997	255.817	185.215	297.779	460.162	287.101	376.889
FBtr0081996	38.26	0	16.1979	80.1355	27.1678	6.33084
FBtr0336761	215.923	97.7852	66.0229	278.703	91.7312	64.7797
FBtr0336637	0	0	4	0	0	3
FBtr0300693	2.65992	0	0	0	0	0
FBtr0336636	2.33108	0	0	0	3.52294	0
FBtr0071797	0	0	0	0	0	0
FBtr0336638	0.00899909	1	0	1	1.47706	0
FBtr0087382	1138.92	1217.43	1488.82	1030.7	887.143	854
FBtr0339998	1396.12	0	0	972.297	25.0372	0
FBtr0301478	908.079	411.826	434.564	996.061	541.74	493.174
FBtr0089521	168.989	64.0164	106.623	65.2558	45.6965	91.4172
FBtr0306351	19.812	28.8078	31.7301	43.0254	8.06508	18.7152
FBtr0306350	57.7616	27.4258	27.3925	194.208	25.1844	26.1946
FBtr0330046	168.989	64.0164	106.623	65.2558	45.6965	91.4172
FBtr0301477	76.3706	31.9078	18.0673	82.1931	42.617	32.0816
FBtr0300224	1.61664	0	0	0	0	0
FBtr0114515	1.65883	2	1.37485	1.13385	0	0
FBtr0087406	0	0	0	0	0	0
FBtr0072888	0	1	0	0	0	0
FBtr0085859	0	0	1	0	0	1
FBtr0334894	3829.03	2003.17	2658.31	3812.78	2101.4	1902.08
FBtr0084460	1939.62	304.287	91.1648	2060.85	182.449	334.84
FBtr0304567	45.343	230.545	175.524	818.368	330.152	150.085
FBtr0070907	3730	1971	2351.36	5044.45	2252	2158
FBtr0070906	0	0	7.64418	21.1077	0	0
FBtr0305911	285.623	123.521	238.06	53.9879	72.8938	97.2681
FBtr0289953	242.141	127.754	104.94	366.185	111.552	63.7891
FBtr0305910	226.235	32.7249	0	200.827	53.5539	50.9428
FBtr0088312	0	0	0	16.0116	3.46711	0
FBtr0088313	0	0	1.076e-4	0	9.32365	0
FBtr0088311	0	16.9255	11.9223	0	0	11
FBtr0304592	51	10.0745	20.0776	13.9884	8.20924	0
FBtr0088882	1650	1037	1286	1951	920	1046
FBtr0079894	522.978	259.847	408.5	580.79	359.665	266.36
FBtr0331635	0.0253045	57.6992	56.6164	3.48372e-6	59.1718	185.557
FBtr0345615	281.628	81.357	91.2122	341.975	60.9059	81.408
FBtr0071338	5322	3192	3759	8406	4649	4458
FBtr0334508	4.37449	0	4	4.37449	0	0
FBtr0085746	0.62551	5	0	3.62551	1	0
FBtr0085085	1122.85	820.815	1008.01	750.892	346.669	390
FBtr0085084	159.151	4.18475	10.9861	28.108	4.3313	0
FBtr0079304	0	0	0	0	0	0
FBtr0079732	0	0	1	0	0	0
FBtr0071108	0	33.8267	152.826	8.27094	0	134.982
FBtr0340139	8.27176	35.8706	0	14.826	0	0
FBtr0071107	1662.19	899.605	1096.98	2418.27	1071.22	919.798
FBtr0340138	431.534	37.698	48.199	240.631	61.7782	69.2203
FBtr0309839	1.25395	0	0	0.764601	0	0
FBtr0309836	1571.53	0	0	1572.08	0	0
FBtr0309837	653.885	0.00936997	4.72634e-4	557.156	139.538	21.0348
FBtr0073144	5667.11	4046.96	5089.72	7039.38	4491.22	4254
FBtr0309838	1423.22	98.0279	76.2766	1253.62	44.2434	59.9606
FBtr0075152	1275.67	485.623	544	1517	522.73	558
FBtr0300092	0	0	0	0	0	0
FBtr0073892	0	0	0	0	0	0
FBtr0343143	0	0	0	0	0	0
FBtr0332630	706.377	54.9209	23.733	569.742	41.1196	12.0095
FBtr0332631	1527.91	458.78	514.197	1076.84	419.363	488.462
FBtr0332632	950.451	280.321	328.861	939.534	420.794	282.872
FBtr0301268	13	5	5	17	6	4
FBtr0085909	12	5	6	13	5	1
FBtr0080763	763	355	470	690	281	282
FBtr0086733	409	214	311	455	206	226
FBtr0087262	1131	762	993	1138	588	723
FBtr0303232	58	37	35	24	5	16
FBtr0344155	2102.26	472.375	562.091	1661.78	311.358	231.246
FBtr0070316	1196.74	1034.63	1239.91	1736.22	1270.64	1158.75
FBtr0344279	5	1	5	8.14444	2	4
FBtr0076133	7	2	8	7	0	3
FBtr0082259	1661.59	873.165	1059	1583	833	874
FBtr0079708	376.534	140.001	186	819	355.154	429.67
FBtr0330181	246.701	0	0	338.802	0	3.43423
FBtr0074894	582.299	348	478	622.198	315	411.566
FBtr0082726	142.541	26.3096	68.8252	15.8878	56.2759	0
