target_id	length	eff_length	est_counts	tpm
FBtr0082360	764	586.517	298.706	79.4714
FBtr0082361	1024	846.517	6.16612	1.13664
FBtr0079938	1428	1250.52	21	2.62046
FBtr0077227	1279	1101.52	612.845	86.8175
FBtr0091702	1278	1100.52	11.1554	1.58174
FBtr0074882	2425	2247.52	281.893	19.5717
FBtr0332153	3588	3410.52	58.6503	2.68348
FBtr0310476	2042	1864.52	115.914	9.70102
FBtr0100666	2416	2238.52	73.3375	5.11227
FBtr0332726	2033	1855.52	22.2056	1.86743
FBtr0080287	1089	911.517	100.985	17.2879
FBtr0309307	5887	5709.52	0	0
FBtr0300898	5037	4859.52	0	0
FBtr0080024	1050	872.517	39.1898	7.00885
FBtr0077389	2263	2085.52	1272	95.1746
FBtr0290204	1958	1780.52	0	0
FBtr0086689	848	670.517	86.9356	20.2319
FBtr0306636	1574	1396.52	127.859	14.2867
FBtr0086687	1472	1294.52	211.521	25.4973
FBtr0086690	2195	2017.52	0	0
FBtr0086686	1532	1354.52	0	0
FBtr0340359	2225	2047.52	35.7309	2.7231
FBtr0301148	981	803.517	405.782	78.8035
FBtr0086684	908	730.517	0	0
FBtr0306637	2237	2059.52	0.0177314	0.00134346
FBtr0301149	1514	1336.52	9.1541	1.06878
FBtr0086600	1106	928.517	14.1013	2.36982
FBtr0331978	1118	940.517	132.899	22.0497
FBtr0078769	621	443.517	12820	4510.51
FBtr0070712	1878	1700.52	9	0.825866
FBtr0343263	1108	930.517	0	0
FBtr0343264	928	750.517	0	0
FBtr0072024	920	742.517	0	0
FBtr0113111	979	801.517	0	0
FBtr0333452	4664	4486.52	10.6241	0.369512
FBtr0333450	3996	3818.52	6.37595	0.260554
FBtr0333451	4043	3865.52	7.71262e-07	3.11345e-08
FBtr0300831	4092	3914.52	0	0
FBtr0076303	1640	1462.52	50.5149	5.38973
FBtr0076302	1655	1477.52	0.0356821	0.00376848
FBtr0076301	2049	1871.52	546.449	45.5621
FBtr0077098	1123	945.517	544.638	89.8848
FBtr0070552	1047	869.517	0	0
FBtr0075818	1346	1168.52	209	27.91
FBtr0088789	1908	1730.52	53	4.77912
FBtr0304960	503	325.517	0	0
FBtr0075249	843	665.517	0	0
FBtr0084104	1804	1626.52	2312	221.808
FBtr0336911	2177	1999.52	106.729	8.32923
FBtr0088974	1597	1419.52	225.23	24.759
FBtr0100360	4963	4785.52	0	0
FBtr0110880	2920	2742.52	0	0
FBtr0334105	2225	2047.52	0	0
FBtr0301185	2946	2768.52	0	0
FBtr0110881	4262	4084.52	97	3.70577
FBtr0336928	1138	960.517	0	0
FBtr0072107	995	817.517	0	0
FBtr0085786	2956	2778.52	272.191	15.2865
FBtr0085785	3082	2904.52	0	0
FBtr0334549	2894	2716.52	26.8092	1.54
FBtr0334550	3020	2842.52	0	0
FBtr0340191	4545	4367.52	2.5237e-06	9.01676e-08
FBtr0073848	4477	4299.52	1884	68.3769
FBtr0078387	3371	3193.52	204.56	9.9954
FBtr0087487	2027	1849.52	193	16.2835
FBtr0083735	2688	2510.52	0	0
FBtr0332539	2448	2270.52	0	0
FBtr0077790	977	799.517	0	0
FBtr0331440	941	763.517	0	0
FBtr0331439	971	793.517	0	0
FBtr0082634	1746	1568.52	191	19.0017
FBtr0079612	1320	1142.52	42	5.73634
FBtr0087980	1799	1621.52	0	0
FBtr0087979	1558	1380.52	0	0
FBtr0072044	1063	885.517	0	0
FBtr0343206	1072	894.517	0	0
FBtr0072043	1160	982.517	0	0
FBtr0075225	1132	954.517	1	0.16348
FBtr0112489	446	268.539	16	9.29739
FBtr0339263	740	562.517	0	0
FBtr0301018	2276	2098.52	25	1.85898
FBtr0302526	640	462.517	12.4092	4.18664
FBtr0100009	3280	3102.52	99	4.97931
FBtr0089901	2338	2160.52	0	0
FBtr0089902	1803	1625.52	0	0
FBtr0300562	2617	2439.52	114.159	7.30219
FBtr0089900	2125	1947.52	0	0
FBtr0089904	2355	2177.52	0	0
FBtr0301521	2467	2289.52	0	0
FBtr0089905	2568	2390.52	61.8413	4.03677
FBtr0345390	5214	5036.52	12.4976	0.387207
FBtr0331425	3556	3378.52	101.346	4.68089
FBtr0332155	4408	4230.52	39.1564	1.4443
FBtr0075014	3541	3363.52	0.000144016	6.68137e-06
FBtr0078874	603	425.517	0	0
FBtr0083452	2975	2797.52	258.957	14.4445
FBtr0302317	2262	2084.52	304.043	22.7603
FBtr0333248	2543	2365.52	0	0
FBtr0114524	2411	2233.52	2	0.13973
FBtr0273385	6171	5993.52	56.2293	1.46396
FBtr0339307	6637	6459.52	52.0571	1.25756
FBtr0273384	6439	6261.52	216.714	5.40076
FBtr0082117	3807	3629.52	139.541	5.9993
FBtr0082116	6303	6125.52	88.3461	2.25057
FBtr0082118	4671	4493.52	133.113	4.62256
FBtr0085011	1569	1391.52	0	0
FBtr0081174	4145	3967.52	0	0
FBtr0081175	3934	3756.52	0	0
FBtr0303241	4041	3863.52	42.5569	1.71884
FBtr0081176	3893	3715.52	0	0
FBtr0305129	2997	2819.52	203.672	11.2721
FBtr0339156	2994	2816.52	46.3278	2.56671
FBtr0339157	2988	2810.52	0	0
FBtr0071784	2049	1871.52	0	0
FBtr0071785	1989	1811.52	799	68.826
FBtr0089148	3050	2872.52	46.4273	2.52208
FBtr0089147	2773	2595.52	5.42198e-07	3.25973e-08
FBtr0089150	2762	2584.52	0	0
FBtr0089146	2709	2531.52	12.381	0.763172
FBtr0308247	2614	2436.52	708.093	45.3491
FBtr0089149	2840	2662.52	41.0982	2.40868
FBtr0302559	2531	2353.52	0	0
FBtr0346506	2597	2419.52	0	0
FBtr0302190	3048	2870.52	24.5798	1.33618
FBtr0086145	3054	2876.52	187.42	10.1671
FBtr0306281	375	197.539	0	0
FBtr0306280	392	214.539	0	0
FBtr0306258	4812	4634.52	42.5185	1.4316
FBtr0073119	3828	3650.52	1573.95	67.2799
FBtr0073120	4106	3928.52	926.331	36.7947
FBtr0073118	4763	4585.52	1867.1	63.5372
FBtr0337055	3442	3264.52	278.214	13.2987
FBtr0333895	3491	3313.52	1361.38	64.112
FBtr0337056	4046	3868.52	443.498	17.8894
FBtr0077442	1411	1233.52	52	6.57819
FBtr0076018	1266	1088.52	19.27	2.76245
FBtr0076017	963	785.517	43.73	8.68704
FBtr0339781	3357	3179.52	0	0
FBtr0070778	3093	2915.52	0	0
FBtr0344824	2804	2626.52	0	0
FBtr0345292	830	652.517	101.911	24.3712
FBtr0070983	837	659.517	77.8784	18.4263
FBtr0070982	1100	922.517	7.48321	1.26579
FBtr0070981	941	763.517	427.29	87.3276
FBtr0070980	854	676.517	22505.4	5191.07
FBtr0307300	2919	2741.52	222.63	12.6719
FBtr0113024	3030	2852.52	27.2299	1.48958
FBtr0332600	2913	2735.52	0	0
FBtr0083414	2815	2637.52	328.439	19.4315
FBtr0337043	3789	3611.52	3.56112	0.153867
FBtr0077516	1338	1160.52	0	0
FBtr0112524	1274	1096.52	15	2.13464
FBtr0089233	3691	3513.52	67.2163	2.98525
FBtr0334626	3376	3198.52	23.6239	1.15253
FBtr0310651	3526	3348.52	72.1458	3.36207
FBtr0089229	3501	3323.52	532.014	24.9789
FBtr0082920	981	803.517	0	0
FBtr0077386	1734	1556.52	209.114	20.9641
FBtr0071106	2301	2123.52	0	0
FBtr0070937	2201	2023.52	1074.19	82.8367
FBtr0070938	2487	2309.52	1480.81	100.052
FBtr0070397	1267	1089.52	9	1.28901
FBtr0074346	819	641.517	0	0
FBtr0071471	1606	1428.52	0	0
FBtr0330316	1609	1431.52	0	0
FBtr0074918	1253	1075.52	111	16.1047
FBtr0072124	2163	1985.52	281	22.0841
FBtr0071683	1189	1011.52	470	72.5058
FBtr0077403	1061	883.517	0	0
FBtr0113021	1089	911.517	0	0
FBtr0077402	1231	1053.52	0	0
FBtr0077401	1011	833.517	8	1.4977
FBtr0300280	1584	1406.52	1	0.110944
FBtr0346378	3461	3283.52	0	0
FBtr0074809	2896	2718.52	446.051	25.6036
FBtr0335137	3353	3175.52	6.94862	0.341454
FBtr0346141	373	195.539	3.87316	3.09086
FBtr0085611	272	94.5675	11.1268	18.3602
FBtr0074029	585	407.517	0	0
FBtr0075388	1505	1327.52	0	0
FBtr0343534	2295	2117.52	2	0.147384
FBtr0086001	1762	1584.52	2	0.196961
FBtr0321315	1239	1061.52	0	0
FBtr0333037	2846	2668.52	24.4818	1.4316
FBtr0075724	2737	2559.52	86.2678	5.25943
FBtr0075723	2084	1906.52	6.25042	0.511583
FBtr0342770	3744	3566.52	0.0416864	0.00182389
FBtr0070420	3766	3588.52	2418.96	105.187
FBtr0342771	3838	3660.52	0	0
FBtr0333323	2883	2705.52	2.04414e-06	1.17898e-07
FBtr0333322	2930	2752.52	32.2262	1.82695
FBtr0074137	2347	2169.52	0.00224708	0.000161623
FBtr0074135	2386	2208.52	792.772	56.0138
FBtr0308136	1697	1519.52	0	0
FBtr0080237	698	520.517	0	0
FBtr0300638	3446	3268.52	0.666667	0.0318277
FBtr0073729	466	288.517	85.8462	46.4298
FBtr0084836	743	565.517	80	22.0746
FBtr0082430	1248	1070.52	9.33194	1.36027
FBtr0335211	1142	964.517	110.668	17.9044
FBtr0076857	1307	1129.52	2	0.276303
FBtr0300424	902	724.517	6	1.29226
FBtr0083860	1793	1615.52	22.1459	2.13909
FBtr0302327	1744	1566.52	1297.6	129.257
FBtr0083861	1877	1699.52	173.256	15.9078
FBtr0083086	1479	1301.52	138.104	16.5578
FBtr0334589	2552	2374.52	45.4212	2.98491
FBtr0091874	595	417.517	1.88338	0.7039
FBtr0073935	992	814.517	0	0
FBtr0073300	818	640.517	0	0
FBtr0073299	2460	2282.52	0	0
FBtr0088841	1522	1344.52	36.8631	4.27833
FBtr0088842	1468	1290.52	465.726	56.3137
FBtr0345599	2094	1916.52	0	0
FBtr0070422	1749	1571.52	4	0.397181
FBtr0342772	681	503.517	0	0
FBtr0070421	1547	1369.52	1	0.113941
FBtr0333023	2495	2317.52	0	0
FBtr0075579	1678	1500.52	2	0.207987
FBtr0072248	2815	2637.52	0	0
FBtr0345620	2931	2753.52	0	0
FBtr0072247	2800	2622.52	0	0
FBtr0072253	1306	1128.52	0	0
FBtr0343432	1090	912.517	173	29.5837
FBtr0073127	1478	1300.52	0.00177377	0.000212828
FBtr0073128	1471	1293.52	1.99823	0.241057
FBtr0079458	1541	1363.52	0	0
FBtr0079460	1595	1417.52	9.74856	1.07315
FBtr0079462	1526	1348.52	0	0
FBtr0079461	1505	1327.52	0	0
FBtr0079459	1585	1407.52	3.25144	0.360471
FBtr0081997	1156	978.517	287.101	45.784
FBtr0081996	1257	1079.52	27.1678	3.92711
FBtr0336761	1233	1055.52	91.7312	13.5613
FBtr0336637	3026	2848.52	0	0
FBtr0300693	1964	1786.52	0	0
FBtr0336636	3290	3112.52	3.52294	0.176621
FBtr0071797	3770	3592.52	0	0
FBtr0336638	1523	1345.52	1.47706	0.1713
FBtr0087382	5033	4855.52	887.143	28.5106
FBtr0339998	5235	5057.52	25.0372	0.772497
FBtr0301478	2790	2612.52	541.74	32.3579
FBtr0089521	2653	2475.52	45.6965	2.88048
FBtr0306351	2221	2043.52	8.06508	0.615854
FBtr0306350	2503	2325.52	25.1844	1.6899
FBtr0330046	2653	2475.52	45.6965	2.88048
FBtr0301477	4782	4604.52	42.617	1.44426
FBtr0300224	1562	1384.52	0	0
FBtr0114515	1508	1330.52	0	0
FBtr0087406	329	151.567	0	0
FBtr0072888	2130	1952.52	0	0
FBtr0085859	1170	992.517	0	0
FBtr0334894	6412	6234.52	2101.4	52.5961
FBtr0084460	6624	6446.52	182.449	4.41635
FBtr0304567	3987	3809.52	330.152	13.5236
FBtr0070907	2510	2332.52	2252	150.658
FBtr0070906	2636	2458.52	0	0
FBtr0305911	1961	1783.52	72.8938	6.37766
FBtr0289953	2161	1983.52	111.552	8.77588
FBtr0305910	2015	1837.52	53.5539	4.54786
FBtr0088312	1656	1478.52	3.46711	0.365922
FBtr0088313	2297	2119.52	9.32365	0.686431
FBtr0088311	2351	2173.52	0	0
FBtr0304592	2591	2413.52	8.20924	0.530763
FBtr0088882	1935	1757.52	920	81.6838
FBtr0079894	2382	2204.52	359.665	25.4585
FBtr0331635	2356	2178.52	59.1718	4.2384
FBtr0345615	2623	2445.52	60.9059	3.8863
FBtr0071338	3399	3221.52	4649	225.189
FBtr0334508	4486	4308.52	0	0
FBtr0085746	3506	3328.52	1	0.046881
FBtr0085085	1541	1363.52	346.669	39.6736
FBtr0085084	2075	1897.52	4.3313	0.356189
FBtr0079304	905	727.517	0	0
FBtr0079732	925	747.517	0	0
FBtr0071108	3145	2967.52	0	0
FBtr0340139	3231	3053.52	0	0
FBtr0071107	3426	3248.52	1071.22	51.4567
FBtr0340138	4238	4060.52	61.7782	2.37412
FBtr0309839	4403	4225.52	0	0
FBtr0309836	4378	4200.52	0	0
FBtr0309837	3952	3774.52	139.538	5.76872
FBtr0073144	4107	3929.52	4491.22	178.35
FBtr0309838	4006	3828.52	44.2434	1.80329
FBtr0075152	2917	2739.52	522.73	29.775
FBtr0300092	607	429.517	0	0
FBtr0073892	1096	918.517	0	0
FBtr0343143	1534	1356.52	0	0
FBtr0332630	1663	1485.52	41.1196	4.31936
FBtr0332631	1364	1186.52	419.363	55.1523
FBtr0332632	5997	5819.52	420.794	11.2832
FBtr0301268	1587	1409.52	6	0.664246
FBtr0085909	2020	1842.52	5	0.423454
FBtr0080763	2304	2126.52	281	20.6198
FBtr0086733	1297	1119.52	206	28.7134
FBtr0087262	852	674.517	588	136.029
FBtr0303232	702	524.517	5	1.4875
FBtr0344155	6716	6538.52	311.358	7.43068
FBtr0070316	6065	5887.52	1270.64	33.6774
FBtr0344279	6745	6567.52	2	0.04752
FBtr0076133	3030	2852.52	0	0
FBtr0082259	2901	2723.52	833	47.7269
FBtr0079708	1718	1540.52	355.154	35.9747
FBtr0330181	847	669.517	0	0
FBtr0074894	650	472.517	315	104.026
FBtr0082726	2913	2735.52	56.2759	3.21019
FBtr0331429	2603	2425.52	0	0
FBtr0331428	2948	2770.52	111.021	6.25307
FBtr0082727	2606	2428.52	62.6927	4.02832
FBtr0301219	3098	2920.52	86.0101	4.59555
FBtr0088166	1239	1061.52	0	0
FBtr0310646	1830	1652.52	13.0111	1.22862
FBtr0073730	1370	1192.52	1439.99	188.427
FBtr0079724	633	455.517	36.2732	12.4259
FBtr0346454	899	721.517	8.13741	1.7599
FBtr0100541	611	433.517	17729.6	6381.76
FBtr0343865	1567	1389.52	0	0
FBtr0079324	1294	1116.52	0	0
FBtr0079598	1156	978.517	306.217	48.8324
FBtr0081220	1093	915.517	3.06358e-05	5.22168e-06
FBtr0300823	1159	981.517	14.1108	2.24338
FBtr0081221	1054	876.517	94.1099	16.7542
FBtr0310645	979	801.517	93.965	18.2937
FBtr0081219	1084	906.517	11.8143	2.03366
FBtr0075314	465	287.517	124	67.2986
FBtr0070136	2103	1925.52	222	17.9909
FBtr0070137	2193	2015.52	0	0
FBtr0070135	2124	1946.52	0.000163243	1.30865e-05
FBtr0076688	2391	2213.52	399.846	28.1876
FBtr0346546	2609	2431.52	11.1537	0.7158
FBtr0302935	3103	2925.52	213.101	11.3666
FBtr0082329	3115	2937.52	148.899	7.90967
FBtr0344017	5279	5101.52	0	0
FBtr0091678	6366	6188.52	367.656	9.2705
FBtr0344016	5395	5217.52	28.1211	0.84104
FBtr0342985	4422	4244.52	213.028	7.83171
FBtr0071815	4360	4182.52	654.79	24.4294
FBtr0071816	4190	4012.52	0	0
FBtr0071813	4216	4038.52	8544.44	330.149
FBtr0342986	4124	3946.52	9.63075	0.380797
FBtr0071814	4255	4077.52	120.088	4.59569
FBtr0083049	682	504.517	207	64.0239
FBtr0079593	751	573.517	12.8673	3.50097
FBtr0332415	1011	833.517	33.6198	6.29402
FBtr0345640	3934	3756.52	25.0434	1.0403
FBtr0077562	3784	3606.52	1527.96	66.1106
FBtr0085387	5031	4853.52	229.011	7.36287
FBtr0085386	4880	4702.52	354.989	11.7797
FBtr0085614	355	177.554	13.3122	11.6995
FBtr0303924	5093	4915.52	6	0.190471
FBtr0303923	5120	4942.52	0	0
FBtr0300811	4420	4242.52	486	17.8756
FBtr0340626	2866	2688.52	0	0
FBtr0340627	2995	2817.52	0	0
FBtr0340628	2870	2692.52	0	0
FBtr0087784	1976	1798.52	2171.88	188.438
FBtr0332882	2246	2068.52	0	0
FBtr0339391	1899	1721.52	270.118	24.4845
FBtr0084095	7188	7010.52	54.7078	1.21772
FBtr0343807	7002	6824.52	0	0
FBtr0343805	4551	4373.52	269.296	9.6083
FBtr0343806	4719	4541.52	504.996	17.3514
FBtr0086801	711	533.517	6	1.75489
FBtr0344145	6340	6162.52	0	0
FBtr0100454	3868	3690.52	0	0
FBtr0082255	6557	6379.52	0	0
FBtr0082256	4226	4048.52	1	0.0385436
FBtr0100455	2462	2284.52	0	0
FBtr0088783	1907	1729.52	549	49.5331
FBtr0301333	1977	1799.52	0.102257	0.00886718
FBtr0332689	1974	1796.52	0.897743	0.0779774
FBtr0086107	5316	5138.52	1772	53.8113
FBtr0072159	694	516.517	5	1.51054
FBtr0076218	2574	2396.52	106.542	6.93728
FBtr0076219	2478	2300.52	590.458	40.0508
FBtr0113346	1241	1063.52	0	0
FBtr0100083	570	392.517	0	0
FBtr0079765	644	466.517	0	0
FBtr0071734	1182	1004.52	0	0
FBtr0071191	1056	878.517	67.3607	11.9648
FBtr0345988	1286	1108.52	9.63928	1.35691
FBtr0071902	1064	886.517	10.4607	1.84128
FBtr0332909	904	726.517	229.539	49.3014
FBtr0078892	1301	1123.52	3386	470.279
FBtr0073061	323	145.567	0	0
FBtr0081973	1959	1781.52	0	0
FBtr0333190	1343	1165.52	1	0.133884
FBtr0072990	764	586.517	133	35.385
FBtr0076205	2178	2000.52	8.98906	0.701164
FBtr0076204	2232	2054.52	156.011	11.8493
FBtr0081487	2064	1886.52	435.83	36.0499
FBtr0331678	2435	2257.52	12.1699	0.841209
FBtr0086674	751	573.517	765	208.144
FBtr0113686	2779	2601.52	27	1.61952
FBtr0113685	2706	2528.52	0	0
FBtr0072069	2783	2605.52	20.8481	1.24859
FBtr0072067	2762	2584.52	16.4635	0.994007
FBtr0072070	2827	2649.52	279.184	16.4427
FBtr0332926	2655	2477.52	40.6305	2.55908
FBtr0072068	2775	2597.52	59.7199	3.58764
FBtr0072066	2608	2430.52	0.153882	0.00987952
FBtr0087059	1547	1369.52	972	110.751
FBtr0074966	4094	3916.52	398.079	15.8605
FBtr0333896	4347	4169.52	65.9212	2.4671
FBtr0302288	1725	1547.52	0	0
FBtr0086613	5546	5368.52	26	0.75573
FBtr0091795	4018	3840.52	7.09876	0.28843
FBtr0300891	3895	3717.52	0.421744	0.0177029
FBtr0091794	5531	5353.52	1.73271	0.050505
FBtr0091793	5663	5485.52	1.45962	0.0415213
FBtr0300892	5540	5362.52	0.194501	0.0056598
FBtr0091792	3886	3708.52	9.90034	0.416579
FBtr0301734	675	497.517	72	22.5825
FBtr0342889	1080	902.517	24.0232	4.15359
FBtr0071618	1141	963.517	78.9768	12.7905
FBtr0344856	10063	9885.52	0	0
FBtr0329838	8191	8013.52	10.6038	0.206483
FBtr0329840	7444	7266.52	0	0
FBtr0332236	5661	5483.52	23.7529	0.675936
FBtr0329844	5383	5205.52	152.68	4.57685
FBtr0329839	5484	5306.52	52.5398	1.54499
FBtr0329842	8096	7918.52	0	0
